epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9175,1.58649,2.35465,1.44017,0.00194,0.14576,0.00129,0.00068,2.80191,inf,3.41637,0.000411255,0.000411255,0.000411255
2,104.346,1.79748,2.25833,1.67939,0.00471,0.00926,0.0014,0.00065,nan,nan,nan,0.000822458,0.000822458,0.000822458
3,146.35,1.8876,2.42098,1.75631,0.47033,0.14217,0.09076,0.0334,2.16416,9.28062,2.4642,0.00122816,0.00122816,0.00122816
4,189.048,1.9348,2.19707,1.74926,0.01921,0.0754,0.01204,0.00506,2.15383,51.0929,2.17335,0.00122525,0.00122525,0.00122525
5,231.185,1.85874,1.98215,1.72505,0.4875,0.16308,0.12342,0.0542,nan,nan,nan,0.001217,0.001217,0.001217
6,273.427,1.81956,1.92877,1.71606,0.79134,0.09558,0.11062,0.05376,1.79941,3.1278,1.88681,0.00120875,0.00120875,0.00120875
7,315.28,1.75367,1.92444,1.68028,0.53205,0.26941,0.199,0.09939,1.675,1.80563,1.79096,0.0012005,0.0012005,0.0012005
8,357.568,1.75641,1.79501,1.64608,0.57641,0.1822,0.20347,0.09112,1.74305,2.38998,1.78174,0.00119225,0.00119225,0.00119225
9,399.26,1.70208,1.67344,1.62615,0.64573,0.28288,0.24642,0.11433,1.65755,2.09689,1.70929,0.001184,0.001184,0.001184
10,441.985,1.66913,1.71972,1.58409,0.61237,0.33513,0.30528,0.1548,1.63275,1.78173,1.69647,0.00117575,0.00117575,0.00117575
11,484.694,1.66603,1.57779,1.5778,0.58042,0.36589,0.41907,0.21318,1.61233,1.58517,1.68747,0.0011675,0.0011675,0.0011675
12,526.883,1.69949,1.69671,1.62713,0.56027,0.33018,0.36367,0.18787,1.64582,1.84053,1.70464,0.00115925,0.00115925,0.00115925
13,568.41,1.64192,1.61728,1.58148,0.60152,0.36932,0.40429,0.19795,1.59687,1.58388,1.66839,0.001151,0.001151,0.001151
14,610.184,1.60509,1.63788,1.56715,0.36505,0.52522,0.39297,0.21787,1.73051,1.70317,1.76595,0.00114275,0.00114275,0.00114275
15,652.783,1.59876,1.56605,1.52063,0.67446,0.31063,0.35721,0.17582,1.62425,1.66996,1.70977,0.0011345,0.0011345,0.0011345
16,695.225,1.55538,1.51415,1.51328,0.4114,0.55894,0.46682,0.25674,1.43276,1.46179,1.52594,0.00112625,0.00112625,0.00112625
17,738.376,1.52809,1.45241,1.50297,0.54573,0.25358,0.25162,0.13782,1.72384,2.23747,1.74694,0.001118,0.001118,0.001118
18,780.673,1.57298,1.5517,1.508,0.55651,0.42234,0.39425,0.21983,1.47618,1.60827,1.57175,0.00110975,0.00110975,0.00110975
19,822.716,1.51316,1.5006,1.48347,0.6637,0.35245,0.40002,0.20629,1.51671,1.5158,1.59181,0.0011015,0.0011015,0.0011015
