epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.105,1.68797,4.25276,1.87672,0.58522,0.04848,0.03407,0.02052,1.73997,3.44631,2.15739,8.30537e-05,8.30537e-05,8.30537e-05
2,323.071,1.50387,3.01543,1.78771,0.75008,0.05305,0.06403,0.03777,1.62683,2.99468,2.01835,0.000165289,0.000165289,0.000165289
3,479.001,1.41088,2.69245,1.70784,0.69132,0.09565,0.09341,0.06159,1.56808,2.81645,1.97844,0.000246424,0.000246424,0.000246424
4,634.251,1.38338,2.46225,1.69493,0.79039,0.10499,0.14427,0.08906,1.51654,2.64783,1.92051,0.00024505,0.00024505,0.00024505
5,789.054,1.34462,2.37471,1.64433,0.68876,0.14215,0.16492,0.10249,1.48739,3.16255,1.87318,0.0002434,0.0002434,0.0002434
6,944.059,1.32094,2.21073,1.62738,0.47152,0.17678,0.16715,0.09669,1.44328,2.40055,1.83613,0.00024175,0.00024175,0.00024175
7,1098.64,1.29353,2.08617,1.61189,0.49589,0.19575,0.17214,0.09967,1.51838,2.52413,1.87311,0.0002401,0.0002401,0.0002401
8,1252.84,1.28081,2.00769,1.57366,0.65562,0.2022,0.20853,0.11864,1.47553,2.32481,1.84644,0.00023845,0.00023845,0.00023845
9,1408.2,1.26172,1.93073,1.56665,0.45014,0.2252,0.23177,0.13165,1.43195,2.1681,1.82062,0.0002368,0.0002368,0.0002368
10,1563.84,1.2358,1.84693,1.54864,0.40237,0.26207,0.26257,0.14847,1.43619,2.06,1.79779,0.00023515,0.00023515,0.00023515
11,1721.21,1.24424,1.84214,1.57439,0.37256,0.27361,0.25837,0.1423,1.44398,2.1134,1.80516,0.0002335,0.0002335,0.0002335
12,1876.43,1.21971,1.80124,1.53903,0.48078,0.30267,0.2932,0.1554,1.40788,2.04027,1.78625,0.00023185,0.00023185,0.00023185
13,2032.76,1.22127,1.79444,1.55143,0.5122,0.32236,0.34442,0.18654,1.39282,2.06935,1.76164,0.0002302,0.0002302,0.0002302
